0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
49   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/paul/proj/blacklight/jetty/contexts at interval 0
62   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/paul/proj/blacklight/jetty/contexts/solr.xml
1856 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1964 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1987 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1988 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/paul/proj/blacklight/jetty/solr
1989 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/paul/proj/blacklight/jetty/solr/'
1992 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/paul/proj/blacklight/jetty/solr/lib/contrib/' to classloader
1993 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/paul/proj/blacklight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1993 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/paul/proj/blacklight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1994 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/paul/proj/blacklight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
2217 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/paul/proj/blacklight/jetty/solr/solr.xml
2357 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/paul/proj/blacklight/jetty/solr
2369 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 2146338580
2370 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/paul/proj/blacklight/jetty/solr/]
2374 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/paul/proj/blacklight/jetty/solr/lib
